Co./Last Name	First Name	Addr 1 - Line 1	           - Line 2	           - Line 3	           - Line 4	Inclusive	Purchase #	Date	Supplier Invoice #	Ship Via	Delivery Status	Item Number	Quantity	Description	Price	Inc-Tax Price	Discount	Total	Inc-Tax Total	Job	Comment	Journal Memo	Shipping Date	Tax Code	Non-GST Amount	GST Amount	Import Duty Amount	Freight Amount	Inc-Tax Freight Amount	Freight Tax Code	Freight Non-GST Amount	Freight GST Amount	Freight Import Duty Amount	Purchase Status	Currency Code	Exchange Rate	Terms - Payment is Due	           - Discount Days	           - Balance Due Days	           - % Discount	Amount Paid	Category	Order	Received	Billed	Location ID	Card ID	Record ID
Kirk Group		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008886	02/03/2017	FC 265103		P	PPL_DW_12	1	Old Papershop Deli 12oz Double Wall.	$90.00	$99.00	0%	$90.00	$99.00			Purchase; Kirk Group		GST	$0.00	$9.00	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			1	1		*None	450

REMAPAK PTY LTD		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008856	03/03/2017	INV 28341		P	JL_HL_8~16_W	224	8~16 oz Hot Sipper Lid (White)	$19.9818	$21.98	0%	$4,475.92	$4,923.51			Purchase; REMAPAK PTY LTD		GST	$0.00	$447.59	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			224	224	Location1	00000628	411

Kirk Group		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008898	06/03/2017	FC 265319		P	PPL_DW_12	1	Sandwich Chefs 2017 12oz Double Wall.	$90.00	$99.00	0%	$90.00	$99.00			Purchase; Kirk Group		GST	$0.00	$9.00	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			1	1		*None	450

Kirk Group		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008899	06/03/2017	FC 265318		P	PPL_IC_08	3	Curled 8oz Ice Cream.	$85.00	$93.50	0%	$255.00	$280.50			Purchase; Kirk Group		GST	$0.00	$25.50	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			3	3		*None	450

Kirk Group		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008900	06/03/2017	FC 265321		P	PPL_DW_08T	1	Sandwich Chefs 2017 8ozt Double Wall (trad Shape)	$70.00	$77.00	0%	$70.00	$77.00			Purchase; Kirk Group		GST	$0.00	$7.00	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			1	1		*None	450

Kirk Group		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008901	06/03/2017	FC 265324		P	PPL_DW_12	2	Muse Lounge 12oz Double Wall.	$90.00	$99.00	0%	$180.00	$198.00			Purchase; Kirk Group		GST	$0.00	$18.00	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			2	2		*None	450

Kirk Group		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008902	06/03/2017	FC 265327		P	PPL_DW_12	1	Ningaloo Bakehouse 12oz Double Wall.	$90.00	$99.00	0%	$90.00	$99.00			Purchase; Kirk Group		GST	$0.00	$9.00	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			1	1		*None	450

Kirk Group		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008903	06/03/2017	FC 265320		P	PPL_DW_16	1	Sandwich Chefs 2017 16oz Double Wall.	$90.00	$99.00	0%	$90.00	$99.00			Purchase; Kirk Group		GST	$0.00	$9.00	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			1	1		*None	450

Kirk Group		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008904	06/03/2017	FC 265325		P	PPL_DW_04	2	Muse Lounge 4oz Double Wall.	$45.00	$49.50	0%	$90.00	$99.00			Purchase; Kirk Group		GST	$0.00	$9.00	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			2	2		*None	450

Kirk Group		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008905	06/03/2017	FC 265326		P	PPL_DW_04	2	Mq 4oz Double Wall.	$45.00	$49.50	0%	$90.00	$99.00			Purchase; Kirk Group		GST	$0.00	$9.00	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			2	2		*None	450

Kirk Group		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008906	06/03/2017	FC 265328		P	PPL_DW_16	1	Ningaloo Bakehouse 16oz Double Wall.	$90.00	$99.00	0%	$90.00	$99.00			Purchase; Kirk Group		GST	$0.00	$9.00	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			1	1		*None	450

Kirk Group		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008907	06/03/2017	FC 265329		P	PPL_DW_08U	1	Ningaloo Bakehouse 8ozu Double Wall.	$75.00	$82.50	0%	$75.00	$82.50			Purchase; Kirk Group		GST	$0.00	$7.50	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			1	1		*None	450

Shamrock Poly Pty Ltd		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008827	07/03/2017	INV 00150136		P	SL_SHAMROCK_440	510,000	440/220 X 13UM NAT HM C/FOLD	$0.0036	$0.0039	0%	$1,830.90	$2,013.99			Purchase; Shamrock Poly Pty Ltd	06/03/2017	GST	$0.00	$183.09	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			510,000	510,000	Location1	0695P	27

SPICERS		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00008909	07/03/2017	95588674		E	OP275-230	4,271	Performa Brill 275x1250 230GSM	$1.62	$1.782	0%	$6,919.02	$7,610.92			Purchase; SPICERS		GST	$0.00	$691.90	$0.00			GST	$0.00	$0.00	$0.00	B			4	60	60	1	$0.00			4,271	4,271	Location1	AC #:126630	381

SPICERS		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00008910	07/03/2017	95588685		E	IP730-278	6,982	Cup Forma Nat 730mm 260+18PE	$1.832	$2.0152	0%	$12,791.02	$14,070.12			Purchase; SPICERS		GST	$0.00	$1,279.10	$0.00			GST	$0.00	$0.00	$0.00	B			4	60	60	1	$0.00			6,982	6,982	Location1	AC #:126630	381

SPICERS		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00008911	07/03/2017	95588684		E	OP275-230	436	Performa Brill 275x1250 230GSM	$1.62	$1.782	0%	$706.32	$776.95			Purchase; SPICERS		GST	$0.00	$70.63	$0.00			GST	$0.00	$0.00	$0.00	B			4	60	60	1	$0.00			436	436	Location1	AC #:126630	381

Kirk Group		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008912	07/03/2017	FC 265352		P	PPL_SC_22	3	Yvci Gorci Milkshake 22oz Single Wall.	$95.00	$104.50	0%	$285.00	$313.50			Purchase; Kirk Group		GST	$0.00	$28.50	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			3	3		*None	450

FLINT GROUP		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008914	07/03/2017	2000942419		P	INK-CP	15,000	CLASSIC CUP BASIC H/S YELLOW II	$0.0147	$0.0161	0%	$219.90	$241.89			Purchase; FLINT GROUP		GST	$0.00	$21.99	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			15,000	15,000	Location1	90011404	25
FLINT GROUP		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008914	07/03/2017	2000942419		P	INK-CP	14,200	CLASSIC CUP BASIC H/S YELLOW II	$0.0147	$0.0161	0%	$208.17	$228.99			Purchase; FLINT GROUP		GST	$0.00	$20.82	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			14,200	14,200	Location1	90011404	25
FLINT GROUP		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008914	07/03/2017	2000942419		P	INK-CP	14,000	CLASSIC CUP BASIC H/S YELLOW II	$0.0147	$0.0161	0%	$205.24	$225.76			Purchase; FLINT GROUP		GST	$0.00	$20.52	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			14,000	14,000	Location1	90011404	25
FLINT GROUP		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008914	07/03/2017	2000942419		P	INK-CP	15,000	CLASSIC CUP BASIC H/S BLUE II	$0.0146	$0.016	0%	$218.85	$240.74			Purchase; FLINT GROUP		GST	$0.00	$21.89	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			15,000	15,000	Location1	90011404	25
FLINT GROUP		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008914	07/03/2017	2000942419		P	INK-CP	15,000	CLASSIC CUP BASIC H/S WHITE II	$0.0098	$0.0107	0%	$146.25	$160.87			Purchase; FLINT GROUP		GST	$0.00	$14.62	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			15,000	15,000	Location1	90011404	25
FLINT GROUP		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008914	07/03/2017	2000942419		P	INK-CP	30,000	CLASSIC CUP BASIC H/S WHITE II	$0.0098	$0.0107	0%	$292.50	$321.75			Purchase; FLINT GROUP		GST	$0.00	$29.25	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			30,000	30,000	Location1	90011404	25
FLINT GROUP		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008914	07/03/2017	2000942419		P	INK-CP	30,000	CLASSIC CUP GLOSS H/S BLACK	$0.0139	$0.0153	0%	$417.00	$458.70			Purchase; FLINT GROUP		GST	$0.00	$41.70	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			30,000	30,000	Location1	90011404	25
FLINT GROUP		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008914	07/03/2017	2000942419		P	INK-CP	12,400	CLASSIC CUP GLOSS H/S BLACK	$0.0139	$0.0153	0%	$172.36	$189.60			Purchase; FLINT GROUP		GST	$0.00	$17.24	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			12,400	12,400	Location1	90011404	25

REMAPAK PTY LTD		REMAPAK PTY LTD	Lombard The Paper People	Chullora Distribution Centre	Warehouse A		00008856	08/03/2017	INV 28386	REMA DIRECT	P	JL_HL_T8_B	64	8ozT Hot Sipper Lid (Black)	$19.5599	$21.5158	0%	$1,251.83	$1,377.01			Purchase for Lombard The Paper People	03/03/2017	GST	$0.00	$125.18	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			64	64	Location1	00000628	411

SPICERS		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008916	08/03/2017	95589243		E	SP250-313	2,443	250mm295+18PE Cupforma Special	$1.923	$2.1153	0%	$4,697.89	$5,167.68			Purchase; SPICERS		GST	$0.00	$469.79	$0.00			GST	$0.00	$0.00	$0.00	B			4	60	60	1	$0.00			2,443	2,443	Location1	AC #:126630	381

REMAPAK PTY LTD		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008607	09/03/2017	INV 28397		P	JL_CL_8~16	40	8~16 oz Cold Flat Lid (1,000)	$17.06	$18.766	0%	$682.40	$750.64		REQUIRED A.S.A.P.	Purchase; REMAPAK PTY LTD		GST	$0.00	$68.24	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			40	40	Location1	00000628	411

REMAPAK PTY LTD		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008750	09/03/2017	INV 28396		P	JL_HL_T8_B	64	8ozT Hot Sipper Lid (Black)	$19.5599	$21.5158	0%	$1,251.83	$1,377.01			Purchase; REMAPAK PTY LTD	28/02/2017	GST	$0.00	$125.18	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			64	64	Location1	00000628	411

REMAPAK PTY LTD		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008782	09/03/2017	INV 28395		P	JL_FATCUP_8~16_B	224	8~16 oz Fat Cup Lid (Black)	$21.00	$23.10	0%	$4,704.00	$5,174.40			Purchase for Direct Hospitality Shepparton	10/03/2017	GST	$0.00	$470.40	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			224	224	Location1	00000628	411

REMAPAK PTY LTD		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042		X	00008849	09/03/2017	INV 28406		P	JL_HL_8~16_B	112	8~16 oz Hot Sipper Lid (Black)	$23.4546	$25.80	0%	$2,626.91	$2,889.60			Purchase; REMAPAK PTY LTD		GST	$0.00	$262.69	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			112	112	Location1	00000628	411
REMAPAK PTY LTD		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042		X	00008849	09/03/2017	INV 28406		P	JL_HL_8~16_W	112	8~16 oz Hot Sipper Lid (White)	$19.9818	$21.98	0%	$2,237.96	$2,461.76			Purchase; REMAPAK PTY LTD		GST	$0.00	$223.80	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			112	112	Location1	00000628	411

FLINT GROUP		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008928	09/03/2017	2000943932		P	INK-CP	14,000	CLASSIC CUP HL SILVER	$0.0151	$0.0167	0%	$211.96	$233.16			Purchase; FLINT GROUP		GST	$0.00	$21.20	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			14,000	14,000	Location1	90011404	25

FLINT GROUP		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008929	09/03/2017	2000943931		P	INK-CP	15,000	CLASSIC CUP BASIC H/S YELLOW II	$0.0147	$0.0161	0%	$219.90	$241.89			Purchase; FLINT GROUP		GST	$0.00	$21.99	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00			15,000	15,000	Location1	90011404	25
