Co./Last Name	First Name	Addr 1 - Line 1	           - Line 2	           - Line 3	           - Line 4	Inclusive	Purchase #	Date	Supplier Invoice #	Ship Via	Delivery Status	Description	Account #	Amount	Inc-Tax Amount	Job	Comment	Journal Memo	Shipping Date	Tax Code	Non-GST Amount	GST Amount	Import Duty Amount	Freight Amount	Inc-Tax Freight Amount	Freight Tax Code	Freight Non-GST Amount	Freight GST Amount	Freight Import Duty Amount	Purchase Status	Currency Code	Exchange Rate	Terms - Payment is Due	           - Discount Days	           - Balance Due Days	           - % Discount	Amount Paid	Category	Card ID	Record ID
Vodafone		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00008918	08/03/2017	1158111355		P	Mobile Phone 0412364072 $4.99 ~Ready Business $80	62800	$77.26	$84.99			Purchase; Vodafone		GST	$0.00	$7.73	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		879286903	1155
Vodafone		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00008918	08/03/2017	1158111355		P	Mobile Phone 0438629960 $4.99 ~Ready Business $80	62800	$81.81	$89.99			Purchase; Vodafone		GST	$0.00	$8.18	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		879286903	1155

AA PRINTING		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008927	09/03/2017	INV-1759		P	50,000 STIHL 12oz DW Digital Printing	57452	$3,307.26	$3,637.99			Purchase; AA PRINTING		GST	$0.00	$330.73	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$2,568.66		*None	617

AA PRINTING		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008952	15/03/2017	INV-1769		P	5,000 Jack Daniels Old No 7 12oz DW	57452	$536.18	$589.80			Purchase; AA PRINTING		GST	$0.00	$53.62	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		*None	617

Exp Couriers		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008986	15/03/2017	INV 135831		P	2 Mar 44010 JANE DIRECT MORTG N TULLAMARINE CAULFIELD	61500	$18.34	$20.18			Purchase; Exp Couriers		GST	$0.00	$1.84	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		EXTPCC	851
Exp Couriers		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008986	15/03/2017	INV 135831		P	3 Mar 44540 JANE GOJE N TULLAMARINE YARRAVILLE	61500	$18.36	$20.20			Purchase; Exp Couriers		GST	$0.00	$1.84	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		EXTPCC	851
Exp Couriers		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008986	15/03/2017	INV 135831		P	6 Mar 45373 JANE BONBONíSMICH N TULLAMARINE WANTIRNA	61500	$24.09	$26.50			Purchase; Exp Couriers		GST	$0.00	$2.41	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		EXTPCC	851
Exp Couriers		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008986	15/03/2017	INV 135831		P	7 Mar 45559 JANE BILLY VAN CR N TULLAMARINE FITZROY NORTH	61500	$33.33	$36.66			Purchase; Exp Couriers		GST	$0.00	$3.33	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		EXTPCC	851
Exp Couriers		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008986	15/03/2017	INV 135831		P	8 Mar 45923 JANE EBOS VIC N TULLAMARINE CLAYTON	61500	$31.54	$34.70			Purchase; Exp Couriers		GST	$0.00	$3.16	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		EXTPCC	851
Exp Couriers		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008986	15/03/2017	INV 135831		P	9 Mar 46363 JANE THE A2 MILK N TULLAMARINE KEW	61500	$21.96	$24.16			Purchase; Exp Couriers		GST	$0.00	$2.20	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		EXTPCC	851
Exp Couriers		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008986	15/03/2017	INV 135831		P	10 Mar 47426 JANE SMA PROJECTS N TULLAMARINE SOUTHBANK	61500	$38.82	$42.70			Purchase; Exp Couriers		GST	$0.00	$3.88	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		EXTPCC	851
Exp Couriers		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008986	15/03/2017	INV 135831		P	SERVICE FEE	61500	$7.95	$8.74			Purchase; Exp Couriers		GST	$0.00	$0.79	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		EXTPCC	851
Exp Couriers		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008986	15/03/2017	INV 135831		P	FUEL LEVY	61500	$23.96	$26.36			Purchase; Exp Couriers		GST	$0.00	$2.40	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		EXTPCC	851

AA PRINTING		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00008985	16/03/2017	INV-1770		P	4,500 Nestle Start Healthy 4oz DW	57452	$458.45	$504.30			Purchase; AA PRINTING		GST	$0.00	$45.85	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$0.00		*None	617

SRO-State Revenue Office		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00006694	01/07/2016	MAY 2016		A	Payroll Tax MAY 2016	92000	$1,089.16	$1,089.16			Purchase; SRO-State Revenue Office		FRE	$0.00	$0.00	$0.00			N-T	$0.00	$0.00	$0.00	B			5	1	30	0	$1,092.75		92658638	1163
SRO-State Revenue Office		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00006694	01/07/2016	MAY 2016		A	Credit Card Fees	62023	$3.59	$3.59			Purchase; SRO-State Revenue Office		FRE	$0.00	$0.00	$0.00			N-T	$0.00	$0.00	$0.00	B			5	1	30	0	$1,092.75		92658638	1163

Northern Managed Finance Pty Ltd		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00007085	01/07/2016	JULY 2016		P	Phone Plan	62350	$310.05	$341.06			Purchase; Northern Managed Finance Pty Ltd		GST	$0.00	$31.01	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$341.06		*None	1035

McHugh & Eastwood		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007340	01/07/2016	SMELAE00002897		P	Pick Up Cartage	61500	$75.00	$82.50			Purchase; McHugh & Eastwood		GST	$0.00	$7.50	$0.00			FRE	$0.00	$0.00	$0.00	B			5	1	30	0	$782.73		PAPCUPMEL	1159
McHugh & Eastwood		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007340	01/07/2016	SMELAE00002897		P	War Risk Surcharge	61500	$24.31	$24.31			Purchase; McHugh & Eastwood		FRE	$0.00	$0.00	$0.00			FRE	$0.00	$0.00	$0.00	B			5	1	30	0	$782.73		PAPCUPMEL	1159
McHugh & Eastwood		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007340	01/07/2016	SMELAE00002897		P	Origin Documentation Fee	61500	$50.00	$50.00			Purchase; McHugh & Eastwood		FRE	$0.00	$0.00	$0.00			FRE	$0.00	$0.00	$0.00	B			5	1	30	0	$782.73		PAPCUPMEL	1159
McHugh & Eastwood		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007340	01/07/2016	SMELAE00002897		P	Origin Terminal Handling	61500	$45.00	$49.50			Purchase; McHugh & Eastwood		GST	$0.00	$4.50	$0.00			FRE	$0.00	$0.00	$0.00	B			5	1	30	0	$782.73		PAPCUPMEL	1159
McHugh & Eastwood		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007340	01/07/2016	SMELAE00002897		P	Export Customs Clearance Fee	61500	$45.00	$45.00			Purchase; McHugh & Eastwood		FRE	$0.00	$0.00	$0.00			FRE	$0.00	$0.00	$0.00	B			5	1	30	0	$782.73		PAPCUPMEL	1159
McHugh & Eastwood		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007340	01/07/2016	SMELAE00002897		P	International Freight	61500	$382.07	$382.07			Purchase; McHugh & Eastwood		FRE	$0.00	$0.00	$0.00			FRE	$0.00	$0.00	$0.00	B			5	1	30	0	$782.73		PAPCUPMEL	1159
McHugh & Eastwood		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007340	01/07/2016	SMELAE00002897		P	Fuel Surcharge	61500	$149.35	$149.35			Purchase; McHugh & Eastwood		FRE	$0.00	$0.00	$0.00			FRE	$0.00	$0.00	$0.00	B			5	1	30	0	$782.73		PAPCUPMEL	1159

TNT Express		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007115	02/07/2016	INV 48809870		P	28/06/16 301194633 TULLAMARINE/REMAPAK S 75 MEL/SYD	56000	$18.33	$20.16			Purchase; TNT Express		GST	$0.00	$1.83	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$465.50		ACC:21779000	34
TNT Express		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007115	02/07/2016	INV 48809870		P	28/06/16 301286016 TULLAMARINE/ANTHEA PRITCHAR S 75 MEL/HOB	56000	$13.10	$14.41			Purchase; TNT Express		GST	$0.00	$1.31	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$465.50		ACC:21779000	34
TNT Express		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007115	02/07/2016	INV 48809870		P	29/06/16 302311634 TULLAMARINE/NESPRESSO S 75 MEL/SYD	56000	$13.10	$14.41			Purchase; TNT Express		GST	$0.00	$1.31	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$465.50		ACC:21779000	34
TNT Express		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007115	02/07/2016	INV 48809870		P	30/06/16 303252180 TULLAMARINE/SAATCHI & SAATC S 75 MEL/SYD	56000	$13.10	$14.41			Purchase; TNT Express		GST	$0.00	$1.31	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$465.50		ACC:21779000	34
TNT Express		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007115	02/07/2016	INV 48809870		P	30/06/16 303254755 TULLAMARINE/LIVINGSTONE INT S 75 MEL/SYD	56000	$18.33	$20.17			Purchase; TNT Express		GST	$0.00	$1.84	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$465.50		ACC:21779000	34
TNT Express		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007115	02/07/2016	INV 48809870		P	30/06/16 303323145 TULLAMARINE/BONBONS BAKERY S 75 MEL/MEL	56000	$10.47	$11.51			Purchase; TNT Express		GST	$0.00	$1.04	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$465.50		ACC:21779000	34
TNT Express		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007115	02/07/2016	INV 48809870		P	1/07/16 304315701 TULLAMARINE/TOTAL PAPER S 75 MEL/MEL	56000	$10.47	$11.52			Purchase; TNT Express		GST	$0.00	$1.05	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$465.50		ACC:21779000	34
TNT Express		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007115	02/07/2016	INV 48809870		P	1/07/16 312532124 SUPANIT GRAPHIC/TULLAMARINE R G48N UT2/MEL/ESS	56000	$310.79	$310.79			Purchase; TNT Express		FRE	$0.00	$0.00	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$465.50		ACC:21779000	34
TNT Express		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007115	02/07/2016	INV 48809870		P	1/07/16 312532124 SUPANIT GRAPHIC/TULLAMARINE R G48N FSI	56000	$48.12	$48.12			Purchase; TNT Express		FRE	$0.00	$0.00	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$465.50		ACC:21779000	34

SCT Logistics		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007110	03/07/2016	900240995		P	11 SLOTS TO ZILLMERE QLD (BENCHMARK)	61500	$921.45	$1,013.60			Purchase; SCT Logistics		GST	$0.00	$92.15	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$1,013.60		103617	987

SCT Logistics		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007111	03/07/2016	900240994		P	6 SLOTS TO HEMMANT QLD (AMAZONIA AUSTRALIA PTY LTD)	61500	$509.88	$560.87			Purchase; SCT Logistics		GST	$0.00	$50.99	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$560.87		103617	987

AGL ELECTRICITY 8B		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00007112	03/07/2016	JUNE 2016		P	1 Jun 2016 to 30 Jun 2016 (30days)	62920	$8,540.13	$9,394.14			Purchase; AGL ELECTRICITY 8B		GST	$0.00	$854.01	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$9,394.14		AC10302297	234

SCT Logistics		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007234	03/07/2016	900240993		P	3 SLOTS TO LENNOX HEAD NSW (THE BAKERY LENNOX HEAD)	61500	$608.42	$669.26			Purchase; SCT Logistics		GST	$0.00	$60.84	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$669.26		103617	987

PREMIER WASTE		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007106	04/07/2016	INV 114797		P	07/06/16 911955.1 1100ltr Waste Collection	62525	$68.22	$75.04			Purchase; PREMIER WASTE		GST	$0.00	$6.82	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$304.93		2603.000	451
PREMIER WASTE		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007106	04/07/2016	INV 114797		P	14/06/16 917170.1 1100ltr Waste Collection	62525	$68.22	$75.04			Purchase; PREMIER WASTE		GST	$0.00	$6.82	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$304.93		2603.000	451
PREMIER WASTE		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007106	04/07/2016	INV 114797		P	21/06/16 922524.1 1100ltr Waste Collection	62525	$68.22	$75.05			Purchase; PREMIER WASTE		GST	$0.00	$6.83	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$304.93		2603.000	451
PREMIER WASTE		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007106	04/07/2016	INV 114797		P	28/06/16 927807.1 1100ltr Waste Collection	62525	$68.22	$75.04			Purchase; PREMIER WASTE		GST	$0.00	$6.82	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$304.93		2603.000	451
PREMIER WASTE		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007106	04/07/2016	INV 114797		P	Rental Charge (RG11 x 1 / WK)	62525	$4.33	$4.76			Purchase; PREMIER WASTE		GST	$0.00	$0.43	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$304.93		2603.000	451

Hi Trans Express		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007108	04/07/2016	INV 029842		P	20/06/16 SY13755 PCC504 THE PAPER CU In The Pink By MEL NS6	61500	$40.08	$44.09			Purchase; Hi Trans Express		GST	$0.00	$4.01	$0.00			GST	$0.00	$0.00	$0.00	B			2	0	30	0	$658.59		8349	716
Hi Trans Express		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007108	04/07/2016	INV 029842		P	28/06/16 PCC513 TCRNSW THE PAPER CU THE COFFEE R MEL SYD	61500	$103.06	$113.37			Purchase; Hi Trans Express		GST	$0.00	$10.31	$0.00			GST	$0.00	$0.00	$0.00	B			2	0	30	0	$658.59		8349	716
Hi Trans Express		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007108	04/07/2016	INV 029842		P	29/06/16 SY13526 PCC509 THE PAPER CU AUSSIE MEL SYD	61500	$40.08	$44.09			Purchase; Hi Trans Express		GST	$0.00	$4.01	$0.00			GST	$0.00	$0.00	$0.00	B			2	0	30	0	$658.59		8349	716
Hi Trans Express		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007108	04/07/2016	INV 029842		P	30/06/16 PCC514 NESTLE9516 THE PAPER CU Test Drive - B MEL BNE	61500	$412.24	$453.46			Purchase; Hi Trans Express		GST	$0.00	$41.22	$0.00			GST	$0.00	$0.00	$0.00	B			2	0	30	0	$658.59		8349	716
Hi Trans Express		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007108	04/07/2016	INV 029842		P	Account Fee 1	61500	$3.25	$3.58			Purchase; Hi Trans Express		GST	$0.00	$0.33	$0.00			GST	$0.00	$0.00	$0.00	B			2	0	30	0	$658.59		8349	716

AA PRINTING		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007109	04/07/2016	INV-1172		P	750 Serko 12oz DW Digital Paper Cup	57452	$299.25	$329.18			Purchase; AA PRINTING		GST	$0.00	$29.93	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$329.18		*None	617

Hi Trans Express		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007126	05/07/2016	INV 030455		P	01/07/16 PCC515 EDGYSARL9542 THE PAPER CU EDGY SARL SE MEL SYD	61500	$103.06	$113.37			Purchase; Hi Trans Express		GST	$0.00	$10.31	$0.00			GST	$0.00	$0.00	$0.00	B			2	0	30	0	$387.77		8349	716
Hi Trans Express		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007126	05/07/2016	INV 030455		P	04/07/16 PCC516 KINETICMARKET THE PAPER CU BRANDLINK MEL SYD	61500	$103.06	$113.37			Purchase; Hi Trans Express		GST	$0.00	$10.31	$0.00			GST	$0.00	$0.00	$0.00	B			2	0	30	0	$387.77		8349	716
Hi Trans Express		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007126	05/07/2016	INV 030455		P	04/07/16 PCC517 SSSAUSTRALIA THE PAPER CU SSS AUSTRALI MEL BNE	61500	$143.14	$157.45			Purchase; Hi Trans Express		GST	$0.00	$14.31	$0.00			GST	$0.00	$0.00	$0.00	B			2	0	30	0	$387.77		8349	716
Hi Trans Express		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007126	05/07/2016	INV 030455		P	Account Fee 1	61500	$3.25	$3.58			Purchase; Hi Trans Express		GST	$0.00	$0.33	$0.00			GST	$0.00	$0.00	$0.00	B			2	0	30	0	$387.77		8349	716

Andrew A. Loucas & Associates		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00007125	06/07/2016	00008205		P	Accounting and Taxation services provided	61005	$6,363.64	$7,000.00			Purchase; Andrew A. Loucas & Associates		GST	$0.00	$636.36	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$7,000.00		*None	922

Vodafone		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00007133	06/07/2016	1143828435		P	Billing period 05 Jun - 04 Jul 2016	62800	$240.81	$262.63			Purchase; Vodafone		GST	$0.00	$21.82	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$262.63		879286903	1155

JSF CONTRACTING PTY LTD		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia	X	00007144	06/07/2016	INV 2232		P	FORKLIFT COVER 3MM CLR POLYCARB	61002	$130.50	$143.55			Purchase; JSF CONTRACTING PTY LTD		GST	$0.00	$13.05	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$143.55		*None	1190

Big Pixel Pty Ltd		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007127	07/07/2016	INV 3319		P	1/7/2016 ñ 7/7/2016 inclusive	61005	$1,500.00	$1,500.00			Purchase; Big Pixel Pty Ltd		FRE	$0.00	$0.00	$0.00			FRE	$0.00	$0.00	$0.00	B			5	1	30	0	$1,500.00		*None	1040

IS Telecoms Pty Ltd		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007134	07/07/2016	INV 35344		P	Additional call usage	62800	$0.73	$0.80			Purchase; IS Telecoms Pty Ltd		GST	$0.00	$0.07	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$270.79		*None	1084
IS Telecoms Pty Ltd		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007134	07/07/2016	INV 35344		P	Internet and Cloud Services	62800	$217.27	$239.00			Purchase; IS Telecoms Pty Ltd		GST	$0.00	$21.73	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$270.79		*None	1084
IS Telecoms Pty Ltd		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007134	07/07/2016	INV 35344		P	Other charges and credits	62800	$313.64	$345.00			Purchase; IS Telecoms Pty Ltd		GST	$0.00	$31.36	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$270.79		*None	1084
IS Telecoms Pty Ltd		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007134	07/07/2016	INV 35344		P	Service and Equipment	62800	-$285.47	-$314.01			Purchase; IS Telecoms Pty Ltd		GST	$0.00	-$28.54	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$270.79		*None	1084

Express Transport Australia(Vic) Pty Ltd		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007147	07/07/2016	ETA0005710		P	TPT - DELIVERY OF PLTS - EXQUISINE	56000	$97.50	$107.25			Purchase; Express Transport Australia(Vic) Pty Ltd		GST	$0.00	$9.75	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$107.25		*None	606

Express Transport Australia(Vic) Pty Ltd		THE PAPER CUP COMPANY	Factory B, 8 Adina Court	Tullamarine 3043	Victoria, Australia		00007148	07/07/2016	ETA0005711		P	DELIVERY OF PLTS 2 SEPERATE LOADS - LOMBARD	56000	$125.00	$137.50			Purchase; Express Transport Australia(Vic) Pty Ltd		GST	$0.00	$12.50	$0.00			GST	$0.00	$0.00	$0.00	B			5	1	30	0	$137.50		*None	606

