Item Number	Item Name	Buy	Sell	Inventory	Asset Acct	Income Acct	Expense/COS Acct	Item Picture	Description	Use Desc. On Sale	Custom List 1	Custom List 2	Custom List 3	Custom Field 1	Custom Field 2	Custom Field 3	Primary Supplier	Supplier Item Number	Tax Code When Bought	Buy Unit Measure	# Items/Buy Unit	Reorder Quantity	Minimum Level	Selling Price	Sell Unit Measure	Tax Code When Sold	Sell Price Inclusive	Sales Tax Calc. Method	# Items/Sell Unit	Quantity Break 1	Quantity Break 2	Quantity Break 3	Quantity Break 4	Quantity Break 5	"Price Level A, Qty Break 1"	"Price Level B, Qty Break 1"	"Price Level C, Qty Break 1"	"Price Level D, Qty Break 1"	"Price Level E, Qty Break 1"	"Price Level F, Qty Break 1"	"Price Level A, Qty Break 2"	"Price Level B, Qty Break 2"	"Price Level C, Qty Break 2"	"Price Level D, Qty Break 2"	"Price Level E, Qty Break 2"	"Price Level F, Qty Break 2"	"Price Level A, Qty Break 3"	"Price Level B, Qty Break 3"	"Price Level C, Qty Break 3"	"Price Level D, Qty Break 3"	"Price Level E, Qty Break 3"	"Price Level F, Qty Break 3"	"Price Level A, Qty Break 4"	"Price Level B, Qty Break 4"	"Price Level C, Qty Break 4"	"Price Level D, Qty Break 4"	"Price Level E, Qty Break 4"	"Price Level F, Qty Break 4"	"Price Level A, Qty Break 5"	"Price Level B, Qty Break 5"	"Price Level C, Qty Break 5"	"Price Level D, Qty Break 5"	"Price Level E, Qty Break 5"	"Price Level F, Qty Break 5"	Inactive Item	Standard Cost
20.01	Snap Cutter Knife 128/D804 9mm	B					62520										AAA PACKAGING SUPPLIES PTY		GST	24	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$31.68
20201 Cushion Mount	1380mm Slit to size	B					55010										DONMINION TAPES		GST	1380	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	"$1,436.60"
2CUP-TRAY	2 Cup Tray (500)	B	S	I	11321	41500	51500										Auspak Paper Products		GST	300	1	0	0	$55.00	500	GST		0	1	0	0	0	0	0	55	35	35	35	35	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$50.27
2PLY_COCKTAIL NAPKINS	"2 Ply Cocktail Napkins (2,000)"	B	S	I	11355	41420	54020										PAREGO PAPER INDUSTRIES PTY LTD		GST	2000	1	0	0	$69.30	2000	GST		0	1	0	0	0	0	0	69.3	52.5	52.5	52.5	52.5	52.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$44.72
2PLY_LUNCH NAPKIN	"2ply Lunch Napkin (2,000)"	B	S	I	11355	41420	54020										Caprice Paper		GST	2000	1	0	0	$46.46	2000	GST		0	1	0	0	0	0	0	46.46	69.3	69.3	69.3	69.3	69.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$46.46
37.003	EXAMINATION GLOVES LATEX LARGE	B					62340												GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$7.98
4CUP-TRAY	4 Cup Tray (300)	B	S	I	11321	41500	51500										"Ningbo Happypack Co.,Ltd."		N-T	300	1	0	0	$35.00	300	GST		0	1	0	0	0	0	0	35	50	50	50	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$15.00
58.002	H/Duty Dispenser Stretch 500mm	B					61002										AAA PACKAGING SUPPLIES PTY		GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$86.52
62.012RD	PVC Tape Omni 12mm x 66m Red	B					61002										AAA PACKAGING SUPPLIES PTY		GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$1.52
64.005	Tape Dispenser Omni	B					61002										AAA PACKAGING SUPPLIES PTY		GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$19.80
71006	Omni Pack Tape PPA25 48x75mm	B					61002												GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$1.19
73130	PACKAGING TAPE OMNI	B					61002		OMNI PLP 30 48 mm * 75m CLEAR										GST	36	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$31.28
73131	MOUNTING TAPE 460mm*23m	B					57452												GST	36	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$0.00
73132	CUSHION MOUNT 1380 mm	B		I	55000												DONMINION TAPES		GST		1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$0.00
8__CKTAIL_JMB_STR_BLK	"Cocktail Straw (3,000)"	B	S	I	11354	41410	54010												GST	3000	1	0	0	$52.50	3000	GST		0	1	0	0	0	0	0	52.5	21.5	21.5	21.5	21.5	21.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$16.50
8__CKTAIL_JMB_STR_RED	"Cocktail Straw (3,000) RED"	B	S	I	11354	41410	54010										AUSTRAW PTY LTD		GST	3000	1	0	0	$52.50	3000	GST		0	1	0	0	0	0	0	52.5	52.5	52.5	52.5	52.5	52.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$0.00
88.002	TOILET TISSUE TORK	B					62460		2PLY   400 SHEET 48 ROLL/CTN										GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$66.53
88.03	HAND TOWEL ROLL19cm*110m 16/cn	B					62340												GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$60.73
89.004	RAGS T-SHIRT 10 KG BLOCK	B					62340												GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$19.69
89.005	Plastic Plate	B					62460										Auspak Paper Products		GST	1000	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$0.00
9T16190G	M16X180 GALV WEDGE ANCHORS	B					55000												GST		1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$0.00
A22-01	"NC, SPST, positively guided"	B					62521										OMRON ELECTRONICS		GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$7.32
A22-10	Contact block SPST-NO.	B					62521										OMRON ELECTRONICS		GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$7.32
A22-TN	Lamp holder for BA-9	B					62521										OMRON ELECTRONICS		GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$11.30
A22EL-M	Push lock turn reset 40mm Ligh	B					62521										OMRON ELECTRONICS		GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$35.06
A22L-GA	Pushbutton Head - Illuminated	B					62521										OMRON ELECTRONICS		GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$16.20
A22R-24AW OMR	"LED lamp AC/DC 24Volt, White"	B					62521										OMRON ELECTRONICS		GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$4.95
A22R2468H	A22RS-3M-20 OMR	B					62521										OMRON ELECTRONICS		GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$15.40
A380_QANTAS_DW_08T_Q	8ozT D/W (500 QANTAS		S	I	11342	41118	50009																0	$32.50	500	GST		0	1	0	0	0	0	0	32.5	47.5	47.5	47.5	47.5	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
A4 Copy Paper	210 x 297 MM LG - 80GSM	B					62310										Direct Paper Supplies		GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$3.30
AD402-02	Auto Drain	B					62521										SMC Pneumatics (Australia) Pty Ltd		GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$79.52
Alpine Laser	450 x 320 x 90grams	B					61002										SPICERS		GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$5.70
AN10-01	"Compact Silencer x 1/4"""	B					62521										SMC Pneumatics (Australia) Pty Ltd		GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$4.51
ANILOX CLEANER	Anilox&Cylinder Cleaner BD0474	B					62520										Stripsteel		GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$220.00
APRONS	Dust Coat Apron	B		I	11442														FRE	1	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$4.84
BAM FUTURA 5	Adhesive (Hot Glue) 14kgs	B		I	55000												JOHNS ADHESIVE CONSULTANTS	BAM FUTURA 5	GST	14	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$96.71
BJ3-1	SW BRACKET BAND MOUNT	B					62521										SMC Pneumatics (Australia) Pty Ltd		GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$1.51
BMA2-020	REED SWITCH BAND	B					62521										SMC Pneumatics (Australia) Pty Ltd		GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$5.53
BMA2-025	REED SWITCH BAND	B					62521										SMC Pneumatics (Australia) Pty Ltd		GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$5.53
BMA2-032	REED SWITCH BAND	B					62521										SMC Pneumatics (Australia) Pty Ltd		GST	1	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$6.29
BP113-254	113mm214+20PE+20PECupforma Nat	B		I	11310				Direct Paper Supplies								SPICERS		GST	kg	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	$2.16
BP117-254	117mm214+20PE+20PECupforma Nat	B		I	11310				"NEW RATE $2,125"								SPICERS		GST	kg	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$2.34
BP120-254	120mm214+20PE+20PECupforma Nat	B		I	11310				Direct Paper Supplies								SPICERS		GST	kg	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	$2.16
BP120PP-254	120mm214+20PP+20PPCupforma Nat	B		I	11310												SPICERS		GST	kg	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$2.53
BP48-254	48mm214+20PE+20PECupforma Nat	B		I	11310				"NEW RATE $2,125"								SPICERS		GST	kg	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$2.34
BP60-254	60mm214+20PE+20PECupforma Nat	B		I	11310				"NEW RATE $2,125"								SPICERS		GST	kg	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	$2.16
BP65-254	65mm214+20PE+20PECupforma Nat	B		I	11310				"NEW RATE $2,125"								SPICERS		GST	kg	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$2.34
BP75-254	75mm214+20PE+20PECupforma Nat	B	S	I	11310	41116	50007		"NEW RATE $2,125"								SPICERS		GST	kg	1	0	0	$0.00		GST		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$2.34
BP82-254	82mm214+20PE+20PECupforma Nat	B		I	11310				"NEW RATE $2,125"								SPICERS		GST	kg	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$2.34
BP82-254PP	82mm 214+20PP+20PPCupforma Nat	B		I	11310												SPICERS		GST	kg	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$2.37
BP95-254	95mm214+20PE+20PECupforma Nat	B		I	11310				"NEW RATE $2,125"								SPICERS		GST	kg	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$2.34
BPB75-246	75&80W-210+18+18 BIOX	B		I	11310												Direct Paper Supplies		FRE	KG	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	$2.65
BPB85-246	85W-210+18+18 BIOX	B		I	11310												Direct Paper Supplies		GST	KG	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	$2.65
C-Group 1	Carton L637xW247xD570mm	B		I	11313				1.04								ABBE CORRUGATED		GST	1	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	$1.20
C-Group2	PD:416567(490x320x525) Revised	B		I	11313				1.09								Oji Fibre Solutions (Carter Holt Harvey)	PD 416567	GST	1	1	"5,000"	"1,500"					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$1.13
C-Group2_OLD	INTERNAL 490 x 320 x 520	B		I	11313														GST	1000	1	0	500					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	$1.11
C-Group3	Carton-L472xW377xD519mm	B		I	11313												ABBE CORRUGATED		GST	1	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	$1.02
C-Group4	PD #: 385759 (420x266x294)	B		I	11313				0.71								ABBE CORRUGATED		GST	1	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$0.61
C-Group5	PD #: 386120 (564x221x542)	B		I	11313												ABBE CORRUGATED		GST	1	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$1.04
C-Group6	Carton L 637 x W 247 x H 535	B		I	11313												ABBE CORRUGATED		GST	1	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	$1.16
C-Plates	Carton Plates	B		I	11313												Visyboard Coolaroo		GST	1	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$0.84
C-Samples	Samples Carton	B		I	11313												Oji Fibre Solutions (Carter Holt Harvey)		GST	1	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$0.51
C-Spoon	Spoon Carton (460*240*240)	B					61002										ABBE CORRUGATED		GST	3000	1	0						0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$0.72
C - Sampal	Sampal	B		I	11313												Visyboard Coolaroo		GST	1	1	0	0					0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	$0.53
C001_ART_DW_04_WHORSE	"4oz D/W (1,000) White Horse"		S	I	11329	41103	50001																0	$60.00	1000	GST		0	1	0	0	0	0	0	60	60	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	
C001_ART_DW_08_A&E	8oz D/W (600) A&E		S	I	11330	41108	50004																0	$45.00	600	GST		0	1	0	0	0	0	0	45	45	45	45	45	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	
C001_ART_DW_08_BGIRD	8oz D/W (600) BGIRD		S	I	11330	41108	50004																0	$45.00	600	GST		0	1	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	
C001_ART_DW_08_BISLEY	8oz D/W (600) Bisley		S	I	11330	41108	50004																0	$45.00	600	GST		0	1	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	
C001_ART_DW_08_CAFCORP	8oz D/W (600) Café Corp		S	I	11330	41108	50004																0	$45.00	600	GST		0	1	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C001_ART_DW_08_CAFROUG	8oz D/W (600) Cafe Rouge		S	I	11330	41108	50004																0	$45.00	600	GST		0	1	0	0	0	0	0	45	45	45	45	45	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	
C001_ART_DW_08_CHIC	8oz D/W (600) Chic		S	I	11330	41108	50004																0	$45.00	600	GST		0	1	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C001_ART_DW_08_DELIZ	8oz D/W (600) Delizie		S	I	11330	41108	50004																0	$45.00	600	GST		0	1	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C001_ART_DW_08_FLOR	8oz D/W 600) Flor		S	I	11330	41108	50004																0	$45.00	600	GST		0	1	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C001_ART_DW_08_MARQSYD	8oz D/W (600) Marque Syd		S	I	11330	41108	50004																0	$45.00	600	GST		0	1	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C001_ART_DW_08_RETESP	8oz D/W (600) RETESP		S	I	11330	41108	50004																0	$45.00	600	GST		0	1	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C001_ART_DW_08_SUPBAK	8oz D/W (600) SupBakery		S	I	11330	41108	50004																0	$45.00	600	GST		0	1	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C001_ART_DW_12_A&E	12oz D/W (500) A&E		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C001_ART_DW_12_ARROW	12oz D/W (500) Arrow		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C001_ART_DW_12_BGIRD	12oz D/W (500) BGIRD		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C001_ART_DW_12_BISLEY	12oz D/W (500) Bisley		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C001_ART_DW_12_CAFCORP	12oz D/W (500) Corp Cafe		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	47.5	47.5	47.5	47.5	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
C001_ART_DW_12_CAFROUG	12oz D/W (500) Cafe Rouge		S	I	11331	41110	50012																0	$47.50	500	GST		0	1	0	0	0	0	0	47.5	47.5	47.5	47.5	47.5	47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N	
