Co./Last Name	First Name	Addr 1 - Line 1	           - Line 2	           - Line 3	           - Line 4	Inclusive	Invoice #	Date	Customer PO	Ship Via	Delivery Status	Item Number	Quantity	Description	Price	Inc-Tax Price	Discount	Total	Inc-Tax Total	Job	Comment	Journal Memo	Salesperson Last Name	Salesperson First Name	Shipping Date	Referral Source	Tax Code	Non-GST Amount	GST Amount	LCT Amount	Freight Amount	Inc-Tax Freight Amount	Freight Tax Code	Freight Non-GST Amount	Freight GST Amount	Freight LCT Amount	Sale Status	Currency Code	Exchange Rate	Terms - Payment is Due	           - Discount Days	           - Balance Due Days	           - % Discount	           - % Monthly Charge	Amount Paid	Payment Method	Payment Notes	Name on Card	Card Number	Expiry Date	Authorisation Code	BSB	Account Number	Drawer/Account Name	Cheque Number	Category	Location ID	Card ID	Record ID
Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00009330	03/10/2016	1038776 Laurent		A	PPL_DW_08U	2	8ozU Outer Printing Plate	$220.00	$242.00	0%	$440.00	$484.00		5 pallets for exchange	Sale; Lombard The Paper People			03/10/2016		GST	$0.00	$44.00	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	30	0	0	$7,840.14	EFT												C031	39
Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00009330	03/10/2016	1038776 Laurent		A	PPL_DW_12	2	12oz Outer Printing Plate	$240.00	$264.00	0%	$480.00	$528.00		5 pallets for exchange	Sale; Lombard The Paper People			03/10/2016		GST	$0.00	$48.00	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	30	0	0	$7,840.14	EFT												C031	39

Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00010324	03/10/2016	1041857 SAND CHEF		A	C031_LOMB_DW_08T_SANDCHEF	42	8ozT D/W (500) Sandwich Chefs	$35.00	$38.50	0%	$1,470.00	$1,617.00		2 pallets for exchange	Sale; Lombard The Paper People			03/10/2016		GST	$0.00	$147.00	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39
Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00010324	03/10/2016	1041857 SAND CHEF		A	TPCC_DW_08T_PBOX	15	8ozT D/W Sleeves Of (25) - Part Box of 375 Cups	$1.75	$1.9253	0%	$26.25	$28.88		2 pallets for exchange	Sale; Lombard The Paper People			03/10/2016		GST	$0.00	$2.63	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39
Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00010324	03/10/2016	1041857 SAND CHEF		A	PPL_DW_08T	1	8ozT Outer Printing Plate	$220.00	$242.00	0%	$220.00	$242.00		2 pallets for exchange	Sale; Lombard The Paper People			03/10/2016		GST	$0.00	$22.00	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00													C031	39

Trumpeter's Alcoholic Ice Tea		Trumpeter's Alcoholic Ice Tea	23 Dalgety Street	Oakleigh  VIC  3166			00010363	04/10/2016	Ordered 13/09	Pick Up	A	C478_TRUMP_SW_12_TRUMPETER	17	12oz S/W (1,000) Trumpeter's	$95.00	$104.50	0%	$1,615.00	$1,776.50		If not taken loose, 1 pallet for exchange	Sale; Trumpeter's Alcoholic Ice Tea			04/10/2016		GST	$0.00	$161.50	$0.00			GST	$0.00	$0.00	$0.00	I			1	0	0	0	0	$1,831.50	EFT											Location1	C478	1269
Trumpeter's Alcoholic Ice Tea		Trumpeter's Alcoholic Ice Tea	23 Dalgety Street	Oakleigh  VIC  3166			00010363	04/10/2016	Ordered 13/09	Pick Up	A	PPL_SW_12	1	12oz S/W Printing Plate	$240.00	$264.00	0%	$240.00	$264.00		If not taken loose, 1 pallet for exchange	Sale; Trumpeter's Alcoholic Ice Tea			04/10/2016		GST	$0.00	$24.00	$0.00			GST	$0.00	$0.00	$0.00	I			1	0	0	0	0	$1,831.50	EFT												C478	1269

The Bean Scene		The Bean Scene	Shop 17/ Warragul Plaza	Victoria Street	Warragul		00010641	05/10/2016	Lids 5/10	Pick Up	A	JL_HL_8~16_W	15	8~16 oz Hot Sipper Lid (White)	$40.00	$44.00	0%	$600.00	$660.00			Sale; The Bean Scene			05/10/2016		GST	$0.00	$60.00	$0.00			GST	$0.00	$0.00	$0.00	I			2	0	90	0	0	$0.00												Location1	C008	151

Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00010586	13/10/2016	1042497 Einstein		A	C031_LOMB_DW_08_EINSTEIN	25	8ozU D/W (600) Einstein	$42.00	$46.20	0%	$1,050.00	$1,155.00		1 pallet for exchange	Sale; Lombard The Paper People			13/10/2016		GST	$0.00	$105.00	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$92.18	EFT											Location1	C031	39
Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00010586	13/10/2016	1042497 Einstein		A	TPCC_DW_08_PBOX	13	8oz DW-Sleeves Of (30) = Part Box of 390 Cups	$2.10	$2.31	0%	$27.30	$30.03		1 pallet for exchange	Sale; Lombard The Paper People			13/10/2016		GST	$0.00	$2.73	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$92.18	EFT											Location1	C031	39
Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00010586	13/10/2016	1042497 Einstein		A	PPL_DW_08U	1	8ozU Outer Printing Plate	$220.00	$242.00	0%	$220.00	$242.00		1 pallet for exchange	Sale; Lombard The Paper People			13/10/2016		GST	$0.00	$22.00	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$92.18	EFT												C031	39

Caffe Trombetta		Caffe Trombetta	8-10 Catalina Drive	Tullamarine  Victoria  3043			00010642	18/10/2016	Steven 5/10	Pick Up	A	C123_TRMBTA_SW_08_TRMBTA	16	8oz S/W (1,000) CaffeTrombetta	$60.00	$66.00	0%	$960.00	$1,056.00		If not taken loose, 1 pallet for exchange	Sale; Caffe Trombetta					GST	$0.00	$96.00	$0.00			GST	$0.00	$0.00	$0.00	I			2	0	14	0	0	$0.00												Location1	C123	320
Caffe Trombetta		Caffe Trombetta	8-10 Catalina Drive	Tullamarine  Victoria  3043			00010642	18/10/2016	Steven 5/10	Pick Up	A	TPCC_SW_08_PBOX	14	8oz S/W Sleeves Of (50) = Part Box of 700 Cups	$3.00	$3.30	0%	$42.00	$46.20		If not taken loose, 1 pallet for exchange	Sale; Caffe Trombetta					GST	$0.00	$4.20	$0.00			GST	$0.00	$0.00	$0.00	I			2	0	14	0	0	$0.00												Location1	C123	320
Caffe Trombetta		Caffe Trombetta	8-10 Catalina Drive	Tullamarine  Victoria  3043			00010642	18/10/2016	Steven 5/10	Pick Up	A	C123_TRMBTA_SW_12_TRMBTA	15	12oz S/W (1,000) CaffeTrombetta	$75.00	$82.50	0%	$1,125.00	$1,237.50		If not taken loose, 1 pallet for exchange	Sale; Caffe Trombetta					GST	$0.00	$112.50	$0.00			GST	$0.00	$0.00	$0.00	I			2	0	14	0	0	$0.00												Location1	C123	320

Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00010834	26/10/2016	1043148	TPCC Deliver	A	SPOON_C	2	Spoon Gelato Clear (5x1,000)	$100.00	$110.00	0%	$200.00	$220.00			Sale; Lombard The Paper People			26/10/2016		GST	$0.00	$20.00	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39

International Paper Products Manufacturing Co		International Paper Products Manufacturing Co	Block 1, Street 12	Building 58	Sabhan Industrial Area  32004		00010912	26/10/2016	Seafrieght July		P	Freight	1	Sea Freight At Cost July Shipment	$3,309.61	$3,309.61	0%	$3,309.61	$3,309.61			Sale; International Paper Products Manufacturing Co					FRE	$0.00	$0.00	$0.00			GST	$0.00	$0.00	$0.00	I			1	0	0	0	0	$3,284.61	EFT												EX008	852

Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00010659	01/11/2016	1042745	REMA DIRECT	A	JL_HL_8~16_W	224	8~16 oz Hot Sipper Lid (White)	$29.00	$31.90	0%	$6,496.00	$7,145.60			Sale; Lombard The Paper People			02/11/2016		GST	$0.00	$649.60	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39
Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00010659	01/11/2016	1042745	REMA DIRECT	A	JL_HL_T8_W	112	8ozTHot Sipper Lid (White)	$25.00	$27.50	0%	$2,800.00	$3,080.00			Sale; Lombard The Paper People			02/11/2016		GST	$0.00	$280.00	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39
Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00010659	01/11/2016	1042745	REMA DIRECT	A	JL_HL_8~16_B	224	8~16 oz Hot Sipper Lid (Black)	$32.00	$35.20	0%	$7,168.00	$7,884.80			Sale; Lombard The Paper People			02/11/2016		GST	$0.00	$716.80	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39
Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00010659	01/11/2016	1042745	REMA DIRECT	A	JL_HL_T8_W	16	8ozTHot Sipper Lid (White)	$25.00	$27.50	0%	$400.00	$440.00			Sale; Lombard The Paper People			02/11/2016		GST	$0.00	$40.00	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39

Lombard The Paper People		Lombard The Paper People	Chullora Distribution Centre	Warehouse A	2 Mayvic Street,		00010817	01/11/2016	1042774 Pt 1	CLIENT'S OWN COURIER	A	C031_LOMB_DW_08T_COFFPLAY	31	8ozT D/W (500) Coffee Playgrd.	$35.00	$38.50	0%	$1,085.00	$1,193.50		1 pallet for exchange	Sale; Lombard The Paper People			19/10/2016		GST	$0.00	$108.50	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39
Lombard The Paper People		Lombard The Paper People	Chullora Distribution Centre	Warehouse A	2 Mayvic Street,		00010817	01/11/2016	1042774 Pt 1	CLIENT'S OWN COURIER	A	TPCC_DW_08T_PBOX	9	8ozT D/W Sleeves Of (25) = Part Box of 225 Cups	$1.75	$1.9256	0%	$15.75	$17.33		1 pallet for exchange	Sale; Lombard The Paper People			19/10/2016		GST	$0.00	$1.58	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39

Lombard The Paper People		Lombard The Paper People	Chullora Distribution Centre	Warehouse A	2 Mayvic Street,		00010905	01/11/2016	1043303 Lids	REMA DIRECT	A	JL_HL_T8_W	64	8ozTHot Sipper Lid (White)	$25.00	$27.50	0%	$1,600.00	$1,760.00			Sale; Lombard The Paper People			28/10/2016		GST	$0.00	$160.00	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39
Lombard The Paper People		Lombard The Paper People	Chullora Distribution Centre	Warehouse A	2 Mayvic Street,		00010905	01/11/2016	1043303 Lids	REMA DIRECT	A	JL_HL_8~16_W	280	8~16 oz Hot Sipper Lid (White)	$29.00	$31.90	0%	$8,120.00	$8,932.00			Sale; Lombard The Paper People			28/10/2016		GST	$0.00	$812.00	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39
Lombard The Paper People		Lombard The Paper People	Chullora Distribution Centre	Warehouse A	2 Mayvic Street,		00010905	01/11/2016	1043303 Lids	REMA DIRECT	A	JL_HL_8~16_B	112	8~16 oz Hot Sipper Lid (Black)	$32.00	$35.20	0%	$3,584.00	$3,942.40			Sale; Lombard The Paper People			28/10/2016		GST	$0.00	$358.40	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39

Benchmark		MR BLACK SPIRITS  MEAT MARKET 5 BLACKWOOD STREET	NORTH MELBOURNE VIC 	Att: GEORGIE LEACH 	Mob: 0415 501 998		00010968	01/11/2016		EXP	A	TPCC_SW_06_WH_1800	1	6.5oz S/W (1,800) White	$63.00	$69.30	0%	$63.00	$69.30		x3 cartons	Sale; Benchmark			03/11/2016		GST	$0.00	$6.30	$0.00	$25.00	$27.50	GST	$0.00	$2.50	$0.00	I			2	0	30	0	0	$0.00												Location1	C352	777
Benchmark		MR BLACK SPIRITS  MEAT MARKET 5 BLACKWOOD STREET	NORTH MELBOURNE VIC 	Att: GEORGIE LEACH 	Mob: 0415 501 998		00010968	01/11/2016		EXP	A	JL_HLS_6_B	2	6.5oz Sipper Lid (1,000) Black	$45.00	$49.50	0%	$90.00	$99.00		x3 cartons	Sale; Benchmark			03/11/2016		GST	$0.00	$9.00	$0.00	$25.00	$27.50	GST	$0.00	$2.50	$0.00	I			2	0	30	0	0	$0.00												Location1	C352	777

Benchmark		Benchmark	West 2B, 605 Zillmere Road,	Zillmere  QLD  4034			00010346	02/11/2016	2169 Backorder	SCT Logistics	A	JL_FLD_8~30_SDOME_NH	14	8~3Ooz Cold Dome (600) No Hole	$33.00	$36.30	0%	$462.00	$508.20		Packed w/ PO # 2238 Pt 1	Sale; Benchmark			03/11/2016		GST	$0.00	$46.20	$0.00			GST	$0.00	$0.00	$0.00	I			2	0	30	0	0	$423.50												Location1	C352	777

Mizo Palace Cafe & Shisha Lounge		Mizo Palace Cafe & Shisha Lounge	Shop 2, 329 Main Road East,	St. Albans  VIC  3021			00010913	04/11/2016		Pick Up	A	DIGITAL PRINT	1	8ozT D/W (500) 88 Keys Melbourne	$400.00	$440.00	0%	$400.00	$440.00			Sale; Mizo Palace Cafe & Shisha Lounge			04/11/2016		GST	$0.00	$40.00	$0.00			GST	$0.00	$0.00	$0.00	I			1	0	0	0	0	$678.46	CONTRA												C319	703
Mizo Palace Cafe & Shisha Lounge		Mizo Palace Cafe & Shisha Lounge	Shop 2, 329 Main Road East,	St. Albans  VIC  3021			00010913	04/11/2016		Pick Up	A	DIGITAL PRINT	1	12oz D/W (500) 88 Keys Melbourne	$450.00	$495.00	0%	$450.00	$495.00			Sale; Mizo Palace Cafe & Shisha Lounge			04/11/2016		GST	$0.00	$45.00	$0.00			GST	$0.00	$0.00	$0.00	I			1	0	0	0	0	$678.46	CONTRA												C319	703
Mizo Palace Cafe & Shisha Lounge		Mizo Palace Cafe & Shisha Lounge	Shop 2, 329 Main Road East,	St. Albans  VIC  3021			00010913	04/11/2016		Pick Up	A	TPCC_SW_04_WH	1	4oz S/W (1,000) White	$40.00	$44.00	0%	$40.00	$44.00			Sale; Mizo Palace Cafe & Shisha Lounge			04/11/2016		GST	$0.00	$4.00	$0.00			GST	$0.00	$0.00	$0.00	I			1	0	0	0	0	$678.46	CONTRA											Location1	C319	703

Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00011048	07/11/2016	1041838 Pt 1	SAMX EXPRESS	A	C031_LOMB_DW_08_BAKLAWA	32	8oz D/W (600) Baklawa	$39.60	$43.56	0%	$1,267.20	$1,393.92		1 pallet for exchange	Sale; Lombard The Paper People			07/11/2016		GST	$0.00	$126.72	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39

Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00011049	07/11/2016	1041847 Pt 1	SAMX EXPRESS	A	C031_LOMB_DW_08_ESPLANE	52	8oz D/W (600) Espresso Lane	$42.00	$46.20	0%	$2,184.00	$2,402.40		5 pallets for exchange	Sale; Lombard The Paper People			07/11/2016		GST	$0.00	$218.40	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39
Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00011049	07/11/2016	1041847 Pt 1	SAMX EXPRESS	A	C031_LOMB_DW_16_ESPLANE	84	16oz D/W (360) Espresso Lane	$38.00	$41.80	0%	$3,192.00	$3,511.20		5 pallets for exchange	Sale; Lombard The Paper People			07/11/2016		GST	$0.00	$319.20	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39

Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00011050	07/11/2016	1041850 Final	SAMX EXPRESS	A	C031_LOMB_DW_08T_FERGPL	32	8ozT D/W (500) Ferguson Plarre	$37.50	$41.25	0%	$1,200.00	$1,320.00		1 pallet for exchange	Sale; Lombard The Paper People			07/11/2016		GST	$0.00	$120.00	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39

Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00011051	07/11/2016	1041851 Pt 1	SAMX EXPRESS	A	C031_LOMB_DW_16_FERGPL	128	16oz D/W (360) Ferguson Plarre	$37.80	$41.58	0%	$4,838.40	$5,322.24		4 pallets for exchange	Sale; Lombard The Paper People			07/11/2016		GST	$0.00	$483.84	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39

Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00011073	09/11/2016	1041123-Final	TPCC Deliver	A	C031_LOMB_DW_12_MAP	64	12oz D/W (500) MAP Coffee	$38.00	$41.80	0%	$2,432.00	$2,675.20		2 pallets for exchange	Sale; Lombard The Paper People			09/11/2016		GST	$0.00	$243.20	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39

Lombard The Paper People		Lombard The Paper People	3399 Pacific Highway	SLACKS CREEK  QLD  4127			00010564	10/11/2016	1042462 Bayview	Pick Up	A	C031_LOMB_DW_08_BAYVIEW	51	8oz D/W (600) Bayview	$42.00	$46.20	0%	$2,142.00	$2,356.20		6 pallets for exchange	Sale; Lombard The Paper People			10/11/2016		GST	$0.00	$214.20	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39
Lombard The Paper People		Lombard The Paper People	3399 Pacific Highway	SLACKS CREEK  QLD  4127			00010564	10/11/2016	1042462 Bayview	Pick Up	A	C031_LOMB_DW_12_BAYVIEW	51	12oz D/W (500) Bayview	$40.00	$44.00	0%	$2,040.00	$2,244.00		6 pallets for exchange	Sale; Lombard The Paper People			10/11/2016		GST	$0.00	$204.00	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39
Lombard The Paper People		Lombard The Paper People	3399 Pacific Highway	SLACKS CREEK  QLD  4127			00010564	10/11/2016	1042462 Bayview	Pick Up	A	C031_LOMB_DW_16_BAYVIEW	52	16oz D/W (360) Bayview	$37.80	$41.58	0%	$1,965.60	$2,162.16		6 pallets for exchange	Sale; Lombard The Paper People			10/11/2016		GST	$0.00	$196.56	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39
Lombard The Paper People		Lombard The Paper People	3399 Pacific Highway	SLACKS CREEK  QLD  4127			00010564	10/11/2016	1042462 Bayview	Pick Up	A	TPCC_DW_16_PBOX	14	16oz D/W Sleeves Of (18) = Part Box of 252 Cups	$1.89	$2.0793	0%	$26.46	$29.11		6 pallets for exchange	Sale; Lombard The Paper People			10/11/2016		GST	$0.00	$2.65	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39
Lombard The Paper People		Lombard The Paper People	3399 Pacific Highway	SLACKS CREEK  QLD  4127			00010564	10/11/2016	1042462 Bayview	Pick Up	A	PPL_DW_08U	2	8ozU Outer Printing Plate	$220.00	$242.00	0%	$440.00	$484.00		6 pallets for exchange	Sale; Lombard The Paper People			10/11/2016		GST	$0.00	$44.00	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00													C031	39
Lombard The Paper People		Lombard The Paper People	3399 Pacific Highway	SLACKS CREEK  QLD  4127			00010564	10/11/2016	1042462 Bayview	Pick Up	A	PPL_DW_12	2	12oz Outer Printing Plate	$240.00	$264.00	0%	$480.00	$528.00		6 pallets for exchange	Sale; Lombard The Paper People			10/11/2016		GST	$0.00	$48.00	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00													C031	39
Lombard The Paper People		Lombard The Paper People	3399 Pacific Highway	SLACKS CREEK  QLD  4127			00010564	10/11/2016	1042462 Bayview	Pick Up	A	PPL_DW_16	2	16oz Outer Printing Plate	$280.00	$308.00	0%	$560.00	$616.00		6 pallets for exchange	Sale; Lombard The Paper People			10/11/2016		GST	$0.00	$56.00	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00													C031	39

Lombard The Paper People		Lombard The Paper People	11 Harrick Road,	Keilor Park  VIC  3042			00011099	10/11/2016	1043564-1	Pick Up	A	C031_LOMB_DW_08_ZOUKI	64	8oz D/W (600) ZOUKI	$39.60	$43.56	0%	$2,534.40	$2,787.84		2 pallets for exchange	Sale; Lombard The Paper People			10/11/2016		GST	$0.00	$253.44	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39

Lombard The Paper People		Lombard The Paper People	Chullora Distribution Centre	Warehouse A	2 Mayvic Street,		00010719	11/11/2016	1042845 Final	CLIENT'S OWN COURIER	A	C031_LOMB_DW_12_COSMOS	65	12oz D/W (500) Cosmos	$40.00	$44.00	0%	$2,600.00	$2,860.00		2 pallets for exchange	Sale; Lombard The Paper People			11/11/2016		GST	$0.00	$260.00	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39

Lombard The Paper People		Lombard The Paper People	Chullora Distribution Centre	Warehouse A	2 Mayvic Street,		00011102	11/11/2016	1042999-1	CLIENT'S OWN COURIER	A	C031_LOMB_DW_12_SHINGINN	35	12oz D/W (500) Shingle Inn 80Y	$40.00	$44.00	0%	$1,400.00	$1,540.00		2 pallets for exchange	Sale; Lombard The Paper People			11/11/2016		GST	$0.00	$140.00	$0.00			GST	$0.00	$0.00	$0.00	I			4	0	0	0	0	$0.00												Location1	C031	39
